Disease,Diet,Disease_clean
Panic Disorder,"['Magnesium-rich foods (spinach, pumpkin seeds, almonds)', 'Omega-3 fatty acids (salmon, flaxseeds, walnuts)', 'Complex carbs (oats, quinoa)', 'Green tea (L-theanine)', 'Limit caffeine and sugar']",panic disorder
Vaginitis,"['Probiotics (yogurt, kefir, sauerkraut)', 'Low-sugar diet (avoid sweets, processed sugar)', 'Garlic (raw or cooked)', 'Cranberry juice (unsweetened)', 'Hydration (water, herbal teas)']",vaginitis
Problem During Pregnancy,"['Prenatal vitamins (consult doctor)', 'Iron-rich foods (red meat, lentils, spinach)', 'Folate-rich foods (leafy greens, fortified cereals)', 'Calcium and Vitamin D (milk, cheese, fortified plant milk)', 'Avoid raw fish, deli meats, unpasteurized dairy']",problem pregnancy
Acute Pancreatitis,"['Low-fat foods (boiled vegetables, lean chicken breast)', 'Small frequent meals', 'Broths and clear liquids (chicken broth, vegetable broth)', 'Avoid alcohol and caffeine', 'Lean proteins (tofu, white fish)']",acute pancreatitis
Asthma,"['Anti-inflammatory foods (blueberries, kale, turmeric)', 'Magnesium-rich foods (pumpkin seeds, spinach)', 'Omega-3s (wild salmon, chia seeds)', 'Avoid dairy if sensitive', 'Vitamin D-rich foods (egg yolks, fortified milk)']",asthma
Infectious Gastroenteritis,"['Oral rehydration solution (ORS)', 'BRAT diet (bananas, rice, applesauce, toast)', 'Clear soups (chicken soup)', 'Avoid dairy and greasy foods', 'Probiotics (yogurt, kefir)']",infectious gastroenteritis
Acute Sinusitis,"['Spicy foods (hot peppers, horseradish)', 'Hydration (water, herbal teas)', 'Vitamin C-rich foods (oranges, strawberries)', 'Warm teas (ginger, chamomile)', 'Avoid processed sugars']",acute sinusitis
Cornea Infection,"['Vitamin A-rich foods (carrots, sweet potatoes, spinach)', 'Zinc-rich foods (pumpkin seeds, beef)', 'Hydration (water)', 'Avoid alcohol and smoking', 'Omega-3-rich foods (flaxseed, salmon)']",cornea infection
Marijuana Abuse,"['Hydration (water, herbal teas)', 'Omega-3s for brain health (walnuts, flaxseeds)', 'Foods rich in B vitamins (eggs, poultry, leafy greens)', 'Antioxidant-rich foods (berries, nuts)', 'Limit processed foods']",marijuana abuse
Bursitis,"['Anti-inflammatory foods (turmeric, ginger, berries)', 'Omega-3 fatty acids (salmon, chia seeds)', 'Vitamin C (bell peppers, citrus fruits)', 'Hydration', 'Avoid processed and fried foods']",bursitis
Actinic Keratosis,"['Antioxidant-rich foods (berries, spinach, nuts)', 'Vitamin E-rich foods (almonds, sunflower seeds)', 'Omega-3 fatty acids (salmon, flaxseeds)', 'Green tea', 'Avoid excessive sun exposure']",actinic keratosis
Chronic Obstructive Pulmonary Disease (COPD),"['Anti-inflammatory foods (turmeric, ginger, berries)', 'Omega-3 fatty acids (wild salmon, walnuts)', 'High-protein foods (chicken, beans)', 'Vitamin C-rich foods (oranges, broccoli)', 'Hydration']",chronic obstructive pulmonary disease copd
Spondylosis,"['Calcium-rich foods (milk, cheese, fortified plant milk)', 'Vitamin D-rich foods (egg yolk, fortified cereals)', 'Anti-inflammatory foods (turmeric, leafy greens)', 'Magnesium sources (nuts, seeds)', 'Omega-3 fatty acids (flaxseeds, fish)']",spondylosis
Injury to the Arm,"['Protein-rich foods (chicken, eggs, legumes)', 'Vitamin C-rich foods (citrus fruits, strawberries)', 'Zinc sources (beef, pumpkin seeds)', 'Hydration', 'Anti-inflammatory foods (turmeric, ginger)']",injury arm
Complex Regional Pain Syndrome,"['Anti-inflammatory foods (turmeric, berries, leafy greens)', 'Omega-3 fatty acids (salmon, walnuts)', 'Magnesium-rich foods (spinach, almonds)', 'Vitamin D-rich foods (fortified milk, egg yolks)', 'Avoid processed sugars and alcohol']",complex regional pain syndrome
Injury to the Trunk,"['High-protein foods (tofu, lean meats)', 'Vitamin C-rich foods (bell peppers, kiwi)', 'Zinc sources (shellfish, nuts)', 'Hydration', 'Anti-inflammatory spices (ginger, turmeric)']",injury trunk
Vulvodynia,"['Anti-inflammatory foods (blueberries, leafy greens)', 'Probiotics (yogurt, kimchi)', 'Omega-3 fatty acids (flaxseeds, salmon)', 'Vitamin E-rich foods (nuts, seeds)', 'Avoid irritants and processed foods']",vulvodynia
Concussion,"['Omega-3 fatty acids (chia seeds, salmon)', 'Antioxidant-rich foods (blueberries, dark chocolate)', 'Protein-rich foods (eggs, chicken)', 'Hydration', 'B vitamins (whole grains, leafy greens)']",concussion
Hypoglycemia,"['Complex carbohydrates (whole grains, legumes)', 'Protein with every meal (eggs, nuts)', 'Avoid sugary snacks', 'Frequent small meals', 'Fiber-rich foods (vegetables, fruits)']",hypoglycemia
Hiatal Hernia,"['Small, frequent meals', 'Avoid spicy foods and caffeine', 'High-fiber foods (oats, vegetables)', 'Lean proteins (chicken, fish)', 'Avoid fatty and fried foods']",hiatal hernia
Allergy,"['Elimination diet (avoid allergen foods)', 'Omega-3 fatty acids (salmon, flaxseeds)', 'Vitamin C-rich foods (oranges, bell peppers)', 'Quercetin-rich foods (apples, onions)', 'Probiotics (yogurt, kefir)']",allergy
